100, c0
101, f0
102, 01
103, 00
104, c2
105, c0
106, 02
107, 10
108, c0
109, c0
10a, 10
10b, 10
10c, c2
10d, c0
10e, 04
10f, 10
110, c0
111, c0
112, 00
113, 10
114, c5
115, f0
116, 01
117, 00
118, 86
119, c4
11a, c0
11b, 10 
11c, 10
11d, c2
11e, c0
11f, 06
120, 10
121, c0
122, C0
123, 02
124, 10
125, 08
126, b3
127, c0
128, f0
129, 00
12a, 00
12b, c2
12c, c0
12d, 02
12e, 10
12f, c0
130, c0
131, 04
132, 10
133, c2
134, c0
135, 08
136, 10
137, c0 //14 inst
138, c0
139, 08
13a, 10
13b, c5
13c, c0
13d, 06
13e, 10
13f, 08 //bleq, beql je bilo 08
140, 2d
141, c0
142, c0
143, 08
144, 10
145, c4
146, f0
147, 02
148, 00
149, c2
14a, c0
14b, 12
14c, 10
14d, c0
14e, d0
14f, 08
150, 10
151, c5
152, d0
153, 12
154, 10
155, 0a
156, 0c
157, ca
158, c0
159, 08
15a, 10
15b, c0
15c, f0
15d, 01
15e, 00
15f, c2
160, c0
161, 02
162, 10
163, c0
164, c0
165, 12
166, 10
167, c2
168, c0
169, 08
16a, 10
16b, 40
16c, 37
16d, 01
16e, c0
16f, c0
170, 02
171, 10
172, 08
173, 66
174, c0
175, f0
176, 00
177, 00
178, c2
179, c0
17a, 02
17b, 10
17c, c0
17d, c0
17e, 06
17f, 10
180, c5
181, f0
182, 02
183, 00
184, c2
185, c0
186, 06
187, 10
188, c5
189, f0
18a, 02
18b, 00
18c, c2
18d, c0
18e, 08
18f, 10
190, c0
191, c0
192, 08
193, 10
194, c5
195, c0
196, 04
197, 10
198, 0a
199, 31
19a, c0
19b, c0
19c, 08
19d, 10
19e, c4
19f, f0
1a0, 02
1a1, 00
1a2, c2
1a3, c0
1a4, 12
1a5, 10
1a6, c0
1a7, d0
1a8, 08
1a9, 10
1aa, c5
1ab, d0
1ac, 12
1ad, 10
1ae, 0a
1af, 0c
1b0, ca
1b1, c0
1b2, 08
1b3, 10
1b4, c0
1b5, f0
1b6, 01
1b7, 00
1b8, c2
1b9, c0
1ba, 02
1bb, 10
1bc, c0
1bd, c0
1be, 08
1bf, 10
1c0, c5
1c1, f0
1c2, 02
1c3, 00
1c4, c2
1c5, c0
1c6, 08
1c7, 10
1c8, 40
1c9, 90
1ca, 01
1cb, c0
1cc, c0
1cd, 04
1ce, 10
1cf, c4
1d0, f0
1d1, 02
1d2, 00
1d3, c2
1d4, c0
1d5, 04
1d6, 10
1d7, 40
1d8, 21
1d9, 01
1da, 90

12,3
14,2
16,1
18,10
1a,4
1c,9
1e, 5
20, 20
1000,8
1010,12
